,R_ADJ,R_AGP,R_AGU,R_ALR,R_AOQ,R_APM,R_AQV,R_ARD,R_AUI,R_AUQ,R_AUW,R_AWD,R_AWG,R_AXC,R_BAA,R_BCJ,R_BFU,R_BGS,R_BJO,R_BMT,R_BPM,R_BRL,R_BSP,R_BUC,R_CAT,R_CGJ,R_CKP,R_CNB,R_CNW,R_CRA,R_CRG,R_CSA,R_CSY,R_CUG,R_CVR,R_CZU,R_DBI,R_DBQ,R_DBZ,R_DMT,R_DNW,R_DTF,R_DTS,R_DVH,R_DXQ,R_DXV,R_EAM,R_EBT,R_EER,R_EIH
R_ADJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14869746279191418,0.4261466067329811,0.17768668789497954,0.1932459684849613,0.11428955444422409,0.11580620830305345,0.2700275264408471,0.40353883767389714,0.3499715128515839,0.11390281772811675,0.14261489561446217,0.2974548419800566,0.15462567919739553,0.13655564938998355,0.09437969738452148,0.21081582504263424,0.12701277910436085,0.3856429295612437,0.15587104202321392,0.20265852018198793,0.23979676620005963,0.24372615700863676,0.44741467709272476,0.1898755572204661,0.1283076430402734,0.13645755417905117,0.13150863658964398,0.27522646041934207,0.3051188055718749,0.14554164828896163,0.2659023933150817,0.16217880412237745,0.3083239610863533,0.1742221656107345,0.3447782031698588,0.18492332068730666,0.3430254151180764,0.341277929272368,0.35975379562317816,0.3913640683047644,0.1445542696521779
R_AGP,4.625718023280353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26670359304233027,0.217496014739461,0.2530561518979488,0.4110237891517496,0.5556670097378821,0.24782862486338716,0.18065681391004532,0.09415626558038584,0.03429710910127293,0.21378061835139267,0.1286674614138602,0.12398425419230698,0.19907251530951317,0.21096334553652119,0.23135381079976688,0.18440399412873448,0.22883933406668405,0.2561231727984754,0.15243370187795777,0.4703892000371779,0.2539389755223148,0.16733376877249762,0.08425057020046253,0.21070237425065586,0.2881566933848276,0.2353182501644572,0.3030375314077092,0.2044109548014861,0.12020652087520839,0.251925849504002,0.07745674088923661,0.3856756479869706,0.06567558691384665,0.1294977918512806,0.13389243179279586,0.15812682088978047,0.10642225225421559,0.12882326480400363,0.18065054764640376,0.14999443216417885,0.11175475418284711
R_AGU,1.8242814702677905,1.1125220252911154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13801880302242844,0.20909919514621922,0.23655098339033787,0.23131485321856,0.30706513183387285,0.1773700696164884,0.051906815679474264,0.25064530395786855,0.18276830370085034,0.10269523041338134,0.13970817343188585,0.24743260593961208,0.18384717448229357,0.0994212888671767,0.08423387633197456,0.14931325766524609,0.24922228147480427,0.23386448688435132,0.09612341139044973,0.2862958333739468,0.27321472947635966,0.0551159841646005,0.26666429996815616,0.23333290244796712,0.12893680348502595,0.14831185698710111,0.12099853580185446,0.23487541771213521,0.1352863982514621,0.05466235754454424,0.13668610407258386,0.15828378986999023,0.14824120711299882,0.09199722398317975,0.17330449856914196,0.06485651124792964,0.22356360547943682,0.16848503398734135,0.17238028156529328,0.21353147181920465,0.06467029956178393
R_ALR,2.529524320677231,2.2778356485958438,1.078883066780243,0.0,0.0,0.0,0.0,0.0,0.0,0.42722000291175355,0.21492233871250463,0.37603969819414146,0.5660250578029339,0.6696087856503379,0.3513994479394764,0.25463895029822203,0.1784747285849835,0.15649076893744393,0.329677196252505,0.24436926844009188,0.20077261196778423,0.2957416126142428,0.3837426880610721,0.39616310594290793,0.2884549843247676,0.37878423221763124,0.33695090726873594,0.267493153605121,0.6289097572032019,0.4423570538543754,0.214844599669715,0.20086663845912248,0.2999705643935538,0.4209250911270115,0.34237199221778486,0.4743046843311428,0.37900522525120645,0.19375346148632908,0.42159499630512526,0.12190976105298984,0.5032207348111273,0.17541592727214803,0.24166061551527765,0.09132139779716165,0.26899480503964557,0.20046827386873378,0.09840170790510674,0.27984382984274925,0.0999388596860307,0.2141933510086816
R_AOQ,0.07510861527137562,3.6364235301409944,1.5929192819609772,2.0401725717732915,0.0,0.0,0.0,0.0,0.0,0.22587547169172015,0.602900140268128,0.2624700253554183,0.27123994223038383,0.1830903014636385,0.11627294117027971,0.36682922994239414,0.41665519491909525,0.419561529736445,0.14881230781569674,0.1380922834031617,0.30562588277558606,0.163962549740719,0.2130548527471431,0.18139957187191696,0.2587458741165295,0.19370640446948958,0.40656142796024247,0.18575737823296606,0.2821179879481858,0.34352357180035614,0.35880140217718387,0.4777904915526839,0.21934532786673896,0.21446772947070541,0.1430815207636126,0.21028972011918526,0.37373573369198004,0.40379213011104675,0.25363719692301334,0.36646314581148415,0.24372574065036606,0.39197394562436716,0.21343026542352445,0.4442891680060529,0.24983702352545037,0.243520363753428,0.4438114297517907,0.4661683575558017,0.4710362846605119,0.24721918638947452
R_APM,2.8801204245079184,2.127038770148487,1.273551238493747,1.153133217737527,2.3998947594537885,0.0,0.0,0.0,0.0,0.365697293307849,0.18567051304976667,0.32949374001116766,0.5239564639834294,0.5854071399912685,0.2793552831363252,0.22181295415470417,0.1390775489080113,0.07356614339539212,0.2448408944459546,0.20114778834436284,0.15399408105861473,0.252756448576415,0.31043051008310507,0.28718219261228284,0.19434226206336352,0.3292343563861106,0.2506346857662355,0.1958496983758882,0.5223301544479385,0.4000308992739747,0.1589800583728963,0.17320111724398116,0.2374025509031892,0.325064635057285,0.2713976508656119,0.3705699427538842,0.34831775158763156,0.16423774566702629,0.3246978498621192,0.09530850814496417,0.42848887289275955,0.006085979178513126,0.17352901664309847,0.15008708793135553,0.18858944855245505,0.12594650430557416,0.14196882513229173,0.08094676015064392,0.15921952745998336,0.18037399577374955
R_AQV,2.0584068094173444,13.277640551898525,7.148055595861908,8.65984743914851,1.3638683443352495,9.147605077564135,0.0,0.0,0.0,0.28082563859750653,0.864803678264366,0.27710102325508496,0.326149623694264,0.21555751677616491,0.29013865072871114,0.44270901700419907,0.6078051110159444,0.6229186072750812,0.28054393385294524,0.34162941496736615,0.47948791861206336,0.33925067834140576,0.32292059181214333,0.3109136649653573,0.4244276597538591,0.26889445225368147,0.5811049290120558,0.3588531625353516,0.24566863047651044,0.37798470723607225,0.4871836824367069,0.6242197530830533,0.354453943472947,0.2983039054504624,0.3002412104481828,0.29896488457349923,0.4205053429792844,0.6374111392824413,0.3791232799218542,0.5776658260656634,0.319653452484383,0.6107947140090224,0.40704074148007185,0.6574047335387349,0.4396015777681097,0.5393449333269015,0.6663506209231793,0.6950605131519696,0.6841958374990939,0.32205391256599736
R_ARD,1.824285392339157,3.6682060939821897,1.8257774318074478,1.2114768696778053,1.6744668634037316,2.038218939997183,7.362280091789964,0.0,0.0,0.3956749502974959,0.43555963446368573,0.2596862804932282,0.44992852648120923,0.6343963467517868,0.31885205825669966,0.2684566726311228,0.19343180098676718,0.20508453440900806,0.36839989293874864,0.24100553337973862,0.15877884972758807,0.24851357115274986,0.34729481591739536,0.38486219748962863,0.203469207815389,0.2999700148765709,0.22062030745585992,0.28536906507639104,0.6546835086052363,0.23326330531141354,0.16226705932333163,0.1925487100028499,0.22462453765985824,0.40020749247981025,0.32228662856081364,0.5108730289912878,0.18190233375913956,0.2550236936385391,0.465304360367893,0.12220233957105835,0.5067874774247433,0.20347801809973967,0.2666897711942259,0.19781827283760442,0.32324814487159464,0.25300178066381623,0.22503902404805198,0.33108153570524723,0.20354996034150613,0.19238615064749423
R_AUI,1.076257748757833,8.6049944815275,1.266649913445816,2.3686926304197335,0.8857557033582679,3.522011742657409,3.996194267179969,4.279874695207197,0.0,0.1547978304314235,0.4413499697498105,0.28951120103214006,0.22602483372978505,0.1731263277521218,0.12985751919747765,0.21445291820674847,0.44488707088527013,0.3678912298782046,0.06140606727961494,0.1554077376075419,0.35290125574858827,0.19191824667900717,0.14659707322964033,0.08801826308277247,0.25101516601636675,0.23781364022557633,0.48035616634655826,0.13207540530679865,0.2375391459534586,0.3503817045100144,0.2418508525867281,0.5242373965332991,0.2805527087985291,0.1066910214476527,0.08851333362531716,0.029364321647321095,0.39005855737057893,0.2981395903668014,0.061890094298708044,0.30381712988675696,0.052865965842973345,0.33256853396284614,0.10524084621225306,0.36233260298639625,0.1190561972764564,0.33621124121812845,0.35663593558226514,0.3389593168242895,0.4088657307475629,0.20180924443227277
R_AUQ,0.14869746279191418,0.26670359304233027,0.13801880302242844,0.42722000291175355,0.22587547169172015,0.365697293307849,0.28082563859750653,0.3956749502974959,0.1547978304314235,0.0,0.4572115550887429,0.20433817134090965,0.10159029543472087,0.23863134291662408,0.11867853539400908,0.1585192891702331,0.38324814696848913,0.3158977884719554,0.11912636958002225,0.16680894378704916,0.3169654162134387,0.1491293348776125,0.05402725010248011,0.13870369939135638,0.26089777789618807,0.1245554282832418,0.4555311859789036,0.08817864155941457,0.22175351897338966,0.24869935821949843,0.2665493277854572,0.381180299912102,0.2335275349157227,0.17280229181738316,0.12554744418073066,0.14851882449670134,0.2628832999715711,0.27848315572944765,0.1011664143583521,0.2939534555109614,0.11939048370417792,0.3042309838629152,0.11800711640114714,0.3363955325191948,0.1219895123314916,0.2966946199715038,0.3458898189306993,0.35810040112242536,0.376985995154707,0.10504086336390259
R_AUW,0.4261466067329811,0.217496014739461,0.20909919514621922,0.21492233871250463,0.602900140268128,0.18567051304976667,0.864803678264366,0.43555963446368573,0.4413499697498105,0.4572115550887429,0.0,0.5148943172617032,0.7740647554623321,0.7780830880502936,0.4103887949625589,0.23075110792767306,0.2774219146460421,0.2185118278890228,0.2508852012903851,0.25205696844113723,0.3179904732897606,0.38069162649418087,0.3473047478095997,0.24889684305265578,0.3820978634162088,0.49369439032435836,0.5599328986037496,0.2249900259622318,0.6763138462199964,0.5979036816960689,0.30428126765554975,0.3857361481501999,0.40061581115122497,0.4244718252787046,0.35720386740536847,0.3733025084791547,0.5742516756090192,0.11908228185872216,0.22414124680704595,0.15849898861618025,0.551147688287627,0.17011110135444052,0.1833871437470452,0.09047412290639686,0.17334103198424503,0.2839527169069625,0.057788826025309215,0.0892163606189074,0.10685388317949598,0.19017195029022976
R_AWD,0.17768668789497954,0.2530561518979488,0.23655098339033787,0.37603969819414146,0.2624700253554183,0.32949374001116766,0.27710102325508496,0.2596862804932282,0.28951120103214006,0.20433817134090965,0.5148943172617032,0.0,0.2300649172109614,0.3488836669972269,0.1991497755385466,0.24304466855712542,0.3137352534909114,0.31307099126821974,0.24711977516766614,0.17252211720420785,0.2049884636269909,0.17499342482491884,0.15580983962138029,0.13178081312524528,0.17068505261321817,0.13006912497569229,0.2732395612723237,0.20937962812360533,0.3025265966051088,0.15945327245958288,0.21708505062703123,0.3186014953689504,0.1103812228008132,0.15177030613796605,0.22816461391889842,0.27410278407660105,0.14270643588634235,0.34733684064324516,0.25189437317952373,0.26372731404555755,0.27288220894917453,0.3025634249805841,0.27830205371950034,0.3570809613725229,0.26938872305488226,0.3265753478606711,0.36185605049941977,0.40010213680485474,0.3709750187385465,0.13564564817256478
